,a,b,c,d,e
0,0.05401120760555034,0.12489751245002234,0.6002846954101039,0.5737989262711722,0.15487704978270833
1,0.9917408705954888,0.5894480911330573,0.03616288247748156,0.09215472154100435,0.18096193968804608
2,0.09755248474407519,0.13050296797399152,0.02275801778210018,0.07299788170342858,0.11736911654168591
3,0.6113453637240105,0.20281309634808686,0.7512567228978856,0.22999905424681066,0.5627117267053651
4,0.6791552380946368,0.40780040042546073,0.7454767729923566,0.3375708986324444,0.08851445829627336
5,0.6553185961904199,0.6159611406539462,0.7697957845634721,0.7010854432285337,0.14783414008717077
6,0.2470244039841475,0.7337027775542032,0.9129029262625216,0.44388333614347897,0.06063081751761268
7,0.45626767945508695,0.2144934564939287,0.24508429337277038,0.8009617412890335,0.19907215473300044
8,0.7166347346716541,0.5234628705759827,0.6006374183317991,0.5516596885547725,0.2369846609442069
9,0.9962960859457672,0.6132944875019127,0.7764192106285204,0.20532460281754394,0.8495819184828377
10,0.4291183890384259,0.7065032896096354,0.9482837440300995,0.8875169329723399,0.7197810399445522
11,0.9872335464723189,0.3851806457447233,0.13505019985473,0.7737338688682287,0.5552173376458391
12,0.7712604649716924,0.970689704722419,0.976004174553631,0.006868650361730899,0.2985887642805437
13,0.817878674657816,0.7075019844395063,0.3940944120782792,0.8470211787097919,0.07391310480053026
14,0.3761832439184263,0.8292558425582752,0.08601626692308018,0.20421894896236448,0.7177779100448697
15,0.6286533530317272,0.2758034793885106,0.7424151452690038,0.7088720846324781,0.9400781466046908
16,0.033465544068828734,0.3144838871454615,0.09272552750484764,0.6257152475157581,0.769246377521352
17,0.36754336599278503,0.6046433066282181,0.009231788752815828,0.8286864771520548,0.6517608264131045
18,0.10770985213040585,0.9202827783904928,0.28329866273182425,0.6402810782534372,0.33464024995700103
19,0.7183144328916015,0.8298879505268135,0.9794615844970346,0.2282769911793554,0.06773176018440663
20,0.834187141107335,0.4546380338256414,0.13073329206717776,0.4640141698514686,0.6402429430109041
21,0.3240817765370292,0.7146212421362428,0.32623044874005114,0.6940540526950961,0.8420466726659387
22,0.8102608207021211,0.3800094974604217,0.6515341799202752,0.6231392923645763,0.150799771012739
23,0.08299974029174673,0.7918817947557507,0.9651703976517844,0.8942057720959945,0.1811875685326627
24,0.18881852490216577,0.5000576232056569,0.04373496756241557,0.5404417143457548,0.2740516383712326
25,0.4074912566941483,0.48683289818195474,0.8606012876345629,0.006462659386333169,0.3016656518083939
26,0.9338059024866495,0.982313565769099,0.6112118778293095,0.8585076202640977,0.42836684920741186
27,0.2787687372132197,0.22011133341119482,0.821516471929775,0.9613148313265284,0.3908275459153667
28,0.7374701401407564,0.42291289768259954,0.4353174329174929,0.571521921280913,0.7139706698159118
29,0.40687152176282504,0.9158151622987183,0.9141108096298993,0.6090031739017083,0.26599195622819205
30,0.2718470775003584,0.4700863918263949,0.8847138357899841,0.6873271380780631,0.639093564543566
31,0.3375467172833261,0.2710309357217051,0.6359697601502486,0.6494627389243792,0.3204264615049218
32,0.3386785740386369,0.5184684151035739,0.6070322060285961,0.4130295430807416,0.2749307791633431
33,0.47640097361408407,0.0005480841221704447,0.6593001467732809,0.5155584386904721,0.3708839795627845
34,0.5787062415567197,0.5220750476834003,0.08500629385171199,0.18010700035074778,0.16588812848456302
35,0.37624672551102945,0.5079620955779122,0.8953266412382046,0.6318440720991619,0.14999037640021873
36,0.741541767728148,0.8031243017376455,0.2628229521960377,0.7950368458088024,0.8978697609507238
37,0.8113312882850265,0.41613197853096695,0.7775387713410917,0.5367002518915229,0.71643607126482
38,0.3370763469728707,0.6670218860651169,0.18941904781316377,0.74198429178424,0.21734714519910836
39,0.7048620546832549,0.3751858736415953,0.21298201565914232,0.46228922416178864,0.5278912308211063
40,0.5583049710350891,0.09396088397204938,0.644682523788734,0.1532071122163191,0.10739669326907042
41,0.23323761793881526,0.8281431340382343,0.06197216494530444,0.5340013968035142,0.9083622715816713
42,0.08155060541601289,0.3813041447218465,0.42142735899988226,0.7044389935317508,0.5784407571304251
43,0.6200273399895474,0.014420393242366769,0.44365793452773783,0.03185023646560814,0.8990665135540539
44,0.1668489187639699,0.8390854700718736,0.7119838607781057,0.4993278088016654,0.7640520681831158
45,0.960731893670699,0.22165062662380808,0.484108145767301,0.35228357376139696,0.7620107558267737
46,0.05108657800564209,0.9012057669951078,0.9837576175042966,0.44711592406516143,0.46097617032213045
47,0.7444266180908408,0.9851913285740763,0.6089090710637654,0.13632678231276296,0.6486957111796632
48,0.19784084860493412,0.9966715850937019,0.24151818255984847,0.3242840568912808,0.3930338130482627
49,0.8162557010524619,0.49764621368862905,0.11722301391531365,0.3177793170025759,0.20072967973133138
50,0.46261052155976334,0.5847312512489473,0.19902245549593445,0.4889780833838753,0.23988754788806754
51,0.027735503050755783,0.2565403674893385,0.8813456475936354,0.17845643755429197,0.16399692400556565
52,0.3879051759292388,0.127801171307242,0.1661587860280369,0.11736463755686488,0.5190773612195436
53,0.6496642452429555,0.4743824443581731,0.3445466993858948,0.1721005962285892,0.5522497101080813
54,0.36453918831842,0.6334419487632952,0.5043140859137261,0.6134901137429066,0.16071683736064557
55,0.4920120365725489,0.09911482646704173,0.5743919846374907,0.921049162553368,0.7599109949612676
56,0.23251038680387315,0.515940876828201,0.8290327977996806,0.9744815560254556,0.5270797593700166
57,0.9059551914321612,0.3603872539835997,0.5892337842896697,0.9586581207621417,0.45871857785854775
58,0.16618386489550274,0.12032733091857506,0.6045485762152603,0.03902532635717981,0.781345779337948
59,0.7680149871365075,0.07662085700291388,0.01806734126663756,0.6829404936410189,0.480287546426142
60,0.8049268416354775,0.07730101582826965,0.3587962395853972,0.7412691002895693,0.2971917426286733
61,0.9750718022361429,0.42594600083462464,0.20583715840212669,0.1795249979046657,0.5454748045335615
62,0.9814123793785677,0.5709707273840622,0.7882860816441909,0.3507903631889412,0.556554806102714
63,0.8220348579022142,0.941793306093337,0.2616156447145557,0.5617197777176968,0.4276644968251131
64,0.0559325194281729,0.11246590063911144,0.47616987912952724,0.25988935355912235,0.9405753693717277
65,0.25107562283280294,0.026232258306128187,0.36640676387065196,0.3160338272806451,0.10658726477739489
66,0.7632019285185384,0.6585252557149464,0.24037715476503552,0.8540796455108676,0.21538131961630747
67,0.6538907183986937,0.35790160090310863,0.924657345808592,0.8569051904446577,0.5107183633054663
68,0.9165482118116413,0.974152402710483,0.617901946654477,0.7927454150581721,0.8062506369009008
69,0.7295487406842424,0.49226091156016294,0.9590236941278458,0.4219831085171215,0.6156427398552892
70,0.30150587066431744,0.26079123252069225,0.4422485057003215,0.9749593192482666,0.63775507488799
