,timepoint,cloudcover,lifted_index,prec_type,prec_amount,temp2m,rh2m,weather,wind10m.direction,wind10m.speed,fecha,latitud,longitud,ciudad,seeing,transparency
1,6,2,6,none,0,16,56,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,4,2
2,9,4,2,none,0,23,42,pcloudyday,NW,2,2022-09-15,40.4165,-3.70256,Madrid,1,2
3,12,7,-1,none,0,25,39,mcloudyday,NW,2,2022-09-15,40.4165,-3.70256,Madrid,1,2
4,15,7,-1,none,0,24,37,mcloudyday,SE,2,2022-09-15,40.4165,-3.70256,Madrid,1,2
5,18,8,-1,rain,1,21,45,lightrainday,SW,2,2022-09-15,40.4165,-3.70256,Madrid,3,2
6,21,3,-1,rain,1,18,57,ishowernight,NW,2,2022-09-15,40.4165,-3.70256,Madrid,3,2
7,24,5,2,rain,1,17,63,ishowernight,NW,2,2022-09-15,40.4165,-3.70256,Madrid,4,2
8,27,3,2,none,1,16,67,pcloudynight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,4,3
9,30,3,2,none,1,15,67,pcloudyday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,3
10,33,1,2,none,1,20,59,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,1,3
11,36,2,-1,rain,1,24,41,ishowerday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,1,2
12,39,1,2,rain,1,24,44,ishowerday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,1,2
13,42,2,6,rain,1,21,40,ishowerday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
14,45,1,6,rain,1,16,54,ishowernight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
15,48,1,10,rain,1,14,53,ishowernight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
16,51,2,10,none,1,13,55,clearnight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
17,54,2,10,none,1,12,61,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
18,57,1,10,none,1,15,41,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,1,2
19,60,1,10,none,1,21,27,clearday,NW,4,2022-09-15,40.4165,-3.70256,Madrid,1,2
20,63,1,6,none,1,23,31,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,2,2
21,66,2,6,none,1,16,50,clearday,SE,2,2022-09-15,40.4165,-3.70256,Madrid,5,2
22,69,2,6,none,1,14,68,clearnight,SW,2,2022-09-15,40.4165,-3.70256,Madrid,4,3
23,72,6,2,none,1,14,80,mcloudynight,SW,2,2022-09-15,40.4165,-3.70256,Madrid,4,4
0,3,3,6,none,0,16,58,pcloudynight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,4,2
1,6,2,6,none,0,16,56,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,4,2
2,9,4,2,none,0,23,42,pcloudyday,NW,2,2022-09-15,40.4165,-3.70256,Madrid,1,2
3,12,7,-1,none,0,25,39,mcloudyday,NW,2,2022-09-15,40.4165,-3.70256,Madrid,1,2
4,15,7,-1,none,0,24,37,mcloudyday,SE,2,2022-09-15,40.4165,-3.70256,Madrid,1,2
5,18,8,-1,rain,1,21,45,lightrainday,SW,2,2022-09-15,40.4165,-3.70256,Madrid,3,2
6,21,3,-1,rain,1,18,57,ishowernight,NW,2,2022-09-15,40.4165,-3.70256,Madrid,3,2
7,24,5,2,rain,1,17,63,ishowernight,NW,2,2022-09-15,40.4165,-3.70256,Madrid,4,2
8,27,3,2,none,1,16,67,pcloudynight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,4,3
9,30,3,2,none,1,15,67,pcloudyday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,3
10,33,1,2,none,1,20,59,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,1,3
11,36,2,-1,rain,1,24,41,ishowerday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,1,2
12,39,1,2,rain,1,24,44,ishowerday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,1,2
13,42,2,6,rain,1,21,40,ishowerday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
14,45,1,6,rain,1,16,54,ishowernight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
15,48,1,10,rain,1,14,53,ishowernight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
16,51,2,10,none,1,13,55,clearnight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
17,54,2,10,none,1,12,61,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
18,57,1,10,none,1,15,41,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,1,2
19,60,1,10,none,1,21,27,clearday,NW,4,2022-09-15,40.4165,-3.70256,Madrid,1,2
20,63,1,6,none,1,23,31,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,2,2
21,66,2,6,none,1,16,50,clearday,SE,2,2022-09-15,40.4165,-3.70256,Madrid,5,2
22,69,2,6,none,1,14,68,clearnight,SW,2,2022-09-15,40.4165,-3.70256,Madrid,4,3
23,72,6,2,none,1,14,80,mcloudynight,SW,2,2022-09-15,40.4165,-3.70256,Madrid,4,4
0,3,3,6,none,0,16,58,pcloudynight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,4,2
1,6,2,6,none,0,16,56,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,4,2
2,9,4,2,none,0,23,42,pcloudyday,NW,2,2022-09-15,40.4165,-3.70256,Madrid,1,2
3,12,7,-1,none,0,25,39,mcloudyday,NW,2,2022-09-15,40.4165,-3.70256,Madrid,1,2
4,15,7,-1,none,0,24,37,mcloudyday,SE,2,2022-09-15,40.4165,-3.70256,Madrid,1,2
5,18,8,-1,rain,1,21,45,lightrainday,SW,2,2022-09-15,40.4165,-3.70256,Madrid,3,2
6,21,3,-1,rain,1,18,57,ishowernight,NW,2,2022-09-15,40.4165,-3.70256,Madrid,3,2
7,24,5,2,rain,1,17,63,ishowernight,NW,2,2022-09-15,40.4165,-3.70256,Madrid,4,2
8,27,3,2,none,1,16,67,pcloudynight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,4,3
9,30,3,2,none,1,15,67,pcloudyday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,3
10,33,1,2,none,1,20,59,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,1,3
11,36,2,-1,rain,1,24,41,ishowerday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,1,2
12,39,1,2,rain,1,24,44,ishowerday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,1,2
13,42,2,6,rain,1,21,40,ishowerday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
14,45,1,6,rain,1,16,54,ishowernight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
15,48,1,10,rain,1,14,53,ishowernight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
16,51,2,10,none,1,13,55,clearnight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
17,54,2,10,none,1,12,61,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
18,57,1,10,none,1,15,41,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,1,2
19,60,1,10,none,1,21,27,clearday,NW,4,2022-09-15,40.4165,-3.70256,Madrid,1,2
20,63,1,6,none,1,23,31,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,2,2
21,66,2,6,none,1,16,50,clearday,SE,2,2022-09-15,40.4165,-3.70256,Madrid,5,2
22,69,2,6,none,1,14,68,clearnight,SW,2,2022-09-15,40.4165,-3.70256,Madrid,4,3
23,72,6,2,none,1,14,80,mcloudynight,SW,2,2022-09-15,40.4165,-3.70256,Madrid,4,4
0,3,3,6,none,0,16,58,pcloudynight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,4,2
1,6,2,6,none,0,16,56,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,4,2
2,9,4,2,none,0,23,42,pcloudyday,NW,2,2022-09-15,40.4165,-3.70256,Madrid,1,2
3,12,7,-1,none,0,25,39,mcloudyday,NW,2,2022-09-15,40.4165,-3.70256,Madrid,1,2
4,15,7,-1,none,0,24,37,mcloudyday,SE,2,2022-09-15,40.4165,-3.70256,Madrid,1,2
5,18,8,-1,rain,1,21,45,lightrainday,SW,2,2022-09-15,40.4165,-3.70256,Madrid,3,2
6,21,3,-1,rain,1,18,57,ishowernight,NW,2,2022-09-15,40.4165,-3.70256,Madrid,3,2
7,24,5,2,rain,1,17,63,ishowernight,NW,2,2022-09-15,40.4165,-3.70256,Madrid,4,2
8,27,3,2,none,1,16,67,pcloudynight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,4,3
9,30,3,2,none,1,15,67,pcloudyday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,3
10,33,1,2,none,1,20,59,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,1,3
11,36,2,-1,rain,1,24,41,ishowerday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,1,2
12,39,1,2,rain,1,24,44,ishowerday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,1,2
13,42,2,6,rain,1,21,40,ishowerday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
14,45,1,6,rain,1,16,54,ishowernight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
15,48,1,10,rain,1,14,53,ishowernight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
16,51,2,10,none,1,13,55,clearnight,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
17,54,2,10,none,1,12,61,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,3,2
18,57,1,10,none,1,15,41,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,1,2
19,60,1,10,none,1,21,27,clearday,NW,4,2022-09-15,40.4165,-3.70256,Madrid,1,2
20,63,1,6,none,1,23,31,clearday,NW,3,2022-09-15,40.4165,-3.70256,Madrid,2,2
21,66,2,6,none,1,16,50,clearday,SE,2,2022-09-15,40.4165,-3.70256,Madrid,5,2
22,69,2,6,none,1,14,68,clearnight,SW,2,2022-09-15,40.4165,-3.70256,Madrid,4,3
23,72,6,2,none,1,14,80,mcloudynight,SW,2,2022-09-15,40.4165,-3.70256,Madrid,4,4
0,3,1,15,none,0,5,64,clearnight,NW,3,2023-01-10,40.4165,-3.70256,Madrid,5,2
1,6,2,15,none,0,6,55,clearnight,NW,3,2023-01-10,40.4165,-3.70256,Madrid,5,2
2,9,1,15,none,0,8,45,clearday,NW,2,2023-01-10,40.4165,-3.70256,Madrid,3,2
3,12,1,10,none,0,13,43,clearday,NW,2,2023-01-10,40.4165,-3.70256,Madrid,2,2
4,15,1,10,none,0,13,41,clearday,N,2,2023-01-10,40.4165,-3.70256,Madrid,2,2
5,18,1,10,none,0,7,75,clearnight,NW,2,2023-01-10,40.4165,-3.70256,Madrid,6,2
6,21,3,10,none,0,6,71,pcloudynight,NW,2,2023-01-10,40.4165,-3.70256,Madrid,6,2
7,24,5,10,none,0,6,70,pcloudynight,NW,2,2023-01-10,40.4165,-3.70256,Madrid,6,2
8,27,9,10,none,0,6,72,cloudynight,NW,2,2023-01-10,40.4165,-3.70256,Madrid,6,2
9,30,7,15,none,0,6,66,mcloudynight,NW,3,2023-01-10,40.4165,-3.70256,Madrid,6,2
10,33,4,10,none,0,9,55,pcloudyday,W,3,2023-01-10,40.4165,-3.70256,Madrid,3,2
11,36,5,2,none,0,13,58,pcloudyday,NW,5,2023-01-10,40.4165,-3.70256,Madrid,2,2
12,39,5,6,none,0,9,78,pcloudyday,NW,5,2023-01-10,40.4165,-3.70256,Madrid,2,5
13,42,7,6,none,0,7,70,mcloudynight,NW,5,2023-01-10,40.4165,-3.70256,Madrid,2,3
14,45,6,15,none,0,5,72,mcloudynight,NW,5,2023-01-10,40.4165,-3.70256,Madrid,3,3
15,48,4,15,none,0,4,67,pcloudynight,NW,5,2023-01-10,40.4165,-3.70256,Madrid,4,3
16,51,1,15,none,0,3,73,clearnight,NW,3,2023-01-10,40.4165,-3.70256,Madrid,4,3
17,54,1,15,none,0,2,72,clearnight,NW,3,2023-01-10,40.4165,-3.70256,Madrid,5,2
18,57,4,15,none,0,5,53,pcloudyday,NW,3,2023-01-10,40.4165,-3.70256,Madrid,3,2
19,60,3,15,none,0,11,30,pcloudyday,NW,2,2023-01-10,40.4165,-3.70256,Madrid,1,2
20,63,1,15,none,0,12,28,clearday,N,2,2023-01-10,40.4165,-3.70256,Madrid,2,2
21,66,1,15,none,0,5,50,clearnight,NW,2,2023-01-10,40.4165,-3.70256,Madrid,6,2
22,69,9,15,none,0,5,42,cloudynight,NW,2,2023-01-10,40.4165,-3.70256,Madrid,6,2
23,72,8,15,none,0,5,38,cloudynight,NW,2,2023-01-10,40.4165,-3.70256,Madrid,6,2
